Name,Year,SUM(Count)
John,1947,884
John,1952,843
John,1948,818
John,1950,809
John,1946,804
John,1944,787
John,1953,736
John,1951,734
John,1956,730
John,1961,731
John,1943,723
John,1964,723
John,1949,717
John,1955,712
John,1963,708
John,1945,707
John,1954,707
John,1942,675
John,1957,673
John,1958,660
John,1959,649
John,1962,639
John,1960,632
John,1965,605
John,1967,558
John,1941,533
John,1966,530
John,1968,503
John,1940,472
John,1939,420
John,1969,410
John,1970,388
John,1938,381
John,1971,347
John,1937,343
John,1935,329
John,1927,308
John,1972,303
John,1936,295
John,1925,287
John,1924,285
John,1923,281
John,1926,279
John,1933,275
John,1922,271
John,1932,268
John,1931,265
John,1930,259
John,1928,258
John,1934,249
John,1920,247
John,1929,245
John,1921,240
John,1918,237
John,1973,235
John,1919,224
John,1974,225
John,1977,214
John,1979,212
John,1978,203
John,1917,195
John,1982,190
John,1916,189
John,1975,188
John,1980,185
John,1976,181
John,1981,179
John,1983,176
John,1987,174
John,1989,167
John,1985,160
John,1992,159
John,1988,156
John,1915,152
John,1991,148
John,1984,147
John,1990,139
John,1986,138
John,1993,133
John,1995,128
John,1996,120
John,1914,116
John,2000,113
John,1994,108
John,1997,102
John,1912,100
John,1913,100
John,2001,100
John,2005,97
John,2004,96
John,1998,93
John,2007,90
John,1999,89
John,2003,80
John,2002,78
John,2008,74
John,2014,71
John,2013,70
John,2006,69
John,1911,65
John,2012,64
John,1910,61
John,2010,58
John,2009,55
John,2011,53
